'Timestamp', 'MON1 CL DDM (?A)', 'MON1 CL RF (dB)', 'MON1 DS DDM (?A)', 'MON1 DS RF (dB)', 'MON1 NF DDM (?A)', 'MON1 NF RF (dB)', 'MON1 CLR DDM (?A)', 'MON1 CLR RF (dB)','TEMP1', 'TEMP2', 'TRYKK', 'SIKT'
2022 01 29 01 07 03,3.18,0.29,2.02,0.25,-5.78,0.23,6.07,0.29,-00,-01,0983,3000
2022 01 29 01 12 04,3.18,0.29,2.02,0.25,-5.78,0.22,6.07,0.29,-00,-01,0983,3000
2022 01 29 01 17 04,3.18,0.29,2.02,0.25,-5.50,0.20,5.78,0.29,-00,-01,0983,3000
2022 01 29 01 22 05,3.47,0.29,2.02,0.25,-5.21,0.19,5.78,0.29,-00,-01,0983,4000
2022 01 29 01 27 05,3.47,0.29,1.74,0.25,-4.92,0.19,5.78,0.29,-00,-01,0983,4000
2022 01 29 01 32 06,3.47,0.29,2.02,0.25,-4.92,0.19,6.07,0.29,-00,-01,0983,4000
2022 01 29 01 37 06,3.47,0.29,2.02,0.25,-4.92,0.19,6.07,0.29,-00,-01,0983,4000
2022 01 29 01 42 07,3.47,0.28,2.31,0.24,-4.92,0.19,6.36,0.28,-00,-01,0983,4000
2022 01 29 01 47 07,3.47,0.28,2.02,0.24,-4.63,0.18,6.36,0.28,-00,-01,0983,4000
2022 01 29 01 52 07,3.47,0.28,2.02,0.23,-4.63,0.17,6.36,0.28,00,-00,0982,1500
2022 01 29 01 57 07,3.76,0.28,2.02,0.23,-4.34,0.17,6.65,0.28,00,-00,0982,1500
2022 01 29 02 02 08,3.76,0.27,2.02,0.23,-4.05,0.16,6.65,0.28,00,-00,0982,1500
2022 01 29 02 07 08,3.47,0.27,2.02,0.23,-4.05,0.17,6.36,0.28,00,-00,0982,1500
2022 01 29 02 12 09,3.47,0.27,2.02,0.23,-4.05,0.16,6.65,0.28,00,-00,0982,1500
2022 01 29 02 17 09,3.76,0.24,2.60,0.19,-4.05,0.17,7.52,0.26,00,-00,0982,1500
2022 01 29 02 22 10,3.76,0.25,2.60,0.19,-4.05,0.17,7.52,0.26,00,-00,0982,2500
2022 01 29 02 27 10,3.76,0.25,2.31,0.20,-4.34,0.19,7.52,0.26,00,-00,0982,2500
2022 01 29 02 32 10,3.76,0.25,2.60,0.20,-4.34,0.20,7.23,0.26,00,-00,0982,2500
2022 01 29 02 37 11,3.47,0.25,2.31,0.20,-4.63,0.21,7.23,0.26,00,-00,0982,2500
