Timestamp,MON1 CL DDM (ｵA),MON1 CL RF (dB),MON1 DS DDM (ｵA),MON1 DS RF (dB),MON1 NF DDM (ｵA),MON1 NF RF (dB),MON1 CLR DDM (ｵA),MON1 CLR RF (dB)
2022-02-09 19:02:47,2.89,0.32,1.45,0.29,-1.74,0.17,4.63,0.31
2022-02-09 19:07:47,2.60,0.32,1.45,0.29,-1.74,0.17,4.92,0.32
2022-02-09 19:12:48,2.89,0.32,1.45,0.29,-1.74,0.18,4.63,0.32
2022-02-09 19:17:49,2.89,0.32,1.45,0.29,-1.45,0.17,4.92,0.32
2022-02-09 19:22:49,2.89,0.32,1.45,0.29,-1.45,0.16,4.92,0.31
2022-02-09 19:27:49,2.89,0.32,1.45,0.29,-1.16,0.16,4.92,0.32
2022-02-09 19:32:49,2.89,0.32,1.16,0.29,-1.45,0.17,4.63,0.31
2022-02-09 19:37:49,2.89,0.32,1.45,0.29,-1.16,0.17,4.63,0.31
2022-02-09 19:42:49,2.89,0.32,1.74,0.28,-0.87,0.16,4.63,0.31
2022-02-09 19:47:50,2.89,0.32,1.45,0.28,-0.87,0.16,4.92,0.31
2022-02-09 19:52:50,2.89,0.32,1.74,0.28,-0.58,0.16,4.92,0.31
2022-02-09 19:57:51,2.89,0.32,1.74,0.28,-0.87,0.16,4.92,0.31
2022-02-09 20:02:51,2.60,0.32,1.45,0.28,-0.87,0.17,4.92,0.31
2022-02-09 20:07:51,2.89,0.31,1.45,0.28,-0.58,0.17,4.63,0.31
2022-02-09 20:12:51,2.89,0.31,1.45,0.28,-0.58,0.17,4.92,0.31
2022-02-09 20:17:52,2.89,0.31,1.45,0.28,-0.58,0.17,4.92,0.31
2022-02-09 20:22:52,2.89,0.31,1.74,0.28,-0.58,0.17,4.92,0.31
2022-02-09 20:27:52,2.89,0.31,1.45,0.28,-0.58,0.17,4.63,0.31
2022-02-09 20:32:52,2.89,0.31,1.45,0.28,-0.87,0.16,4.92,0.31
2022-02-09 20:37:53,2.89,0.31,1.45,0.28,-0.58,0.16,4.92,0.31
2022-02-09 20:42:53,2.89,0.31,1.45,0.28,-0.87,0.17,4.92,0.31
2022-02-09 20:47:53,2.89,0.31,1.45,0.28,-0.58,0.16,4.63,0.31
2022-02-09 20:52:54,2.60,0.31,1.45,0.28,-0.58,0.17,4.92,0.31
2022-02-09 20:57:54,2.60,0.31,1.45,0.28,-0.58,0.17,4.92,0.31
2022-02-09 21:02:55,2.60,0.31,1.74,0.28,-0.58,0.16,5.21,0.31
2022-02-09 21:07:55,2.89,0.31,1.74,0.28,-0.58,0.17,4.92,0.31
2022-02-09 21:12:55,2.89,0.31,1.45,0.28,-0.87,0.17,4.92,0.31
2022-02-09 21:17:55,2.89,0.31,1.45,0.28,-0.58,0.17,4.92,0.31
2022-02-09 21:22:56,2.60,0.31,1.74,0.28,-0.58,0.17,4.63,0.31
2022-02-09 21:27:56,2.60,0.31,1.45,0.28,-0.87,0.16,4.92,0.31
2022-02-09 21:32:57,2.89,0.31,1.45,0.28,-0.58,0.17,4.63,0.31
