15,Timestamp,MON1 CL DDM (ｵA),Status,MON1 CL SDM (%),Status,MON1 CL RF (dB),Status,MON1 DS DDM (ｵA),Status,MON1 DS SDM (%),Status,MON1 DS RF (dB),Status,MON1 NF DDM (ｵA),Status,MON1 NF SDM (%),Status,MON1 NF RF (dB),Status,MON1 CLR DDM (ｵA),Status,MON1 CLR SDM (%),Status,MON1 CLR RF (dB),Status,MON1 DIFF FREQ (kHz),Status,MON1 TEST DDM (ｵA),Status,MON1 TEST SDM (%),Status,MON1 TEST RF (dB),Status,MON1 SELF TEST (),Status,MON2 CL DDM (ｵA),Status,MON2 CL SDM (%),Status,MON2 CL RF (dB),Status,MON2 DS DDM (ｵA),Status,MON2 DS SDM (%),Status,MON2 DS RF (dB),Status,MON2 NF DDM (ｵA),Status,MON2 NF SDM (%),Status,MON2 NF RF (dB),Status,MON2 CLR DDM (ｵA),Status,MON2 CLR SDM (%),Status,MON2 CLR RF (dB),Status,MON2 DIFF FREQ (kHz),Status,MON2 TEST DDM (ｵA),Status,MON2 TEST SDM (%),Status,MON2 TEST RF (dB),Status,MON2 SELF TEST (),Status
2849,"2022-02-07 10:32:24,5"," 2,89", ,"79,97", ," 0,29", ," 1,45", ,"80,01", ," 0,26", ,"-10,12", ,"79,94", ," 0,21", ," 3,76", ,"80,11", ," 0,30", ,"14,74", ," 0,00", ,"79,80", ," 0,01", ," 0,00", ," 2,89", ,"79,97", ," 0,32", ," 1,45", ,"80,01", ," 0,29", ,"-10,12", ,"79,97", ," 0,22", ," 2,31", ,"80,11", ," 0,34", ,"14,76", ,"-0,29", ,"79,80", ," 0,01", ," 0,00", 
2850,"2022-02-07 10:37:24,3"," 2,60", ,"79,97", ," 0,29", ," 1,74", ,"79,97", ," 0,25", ,"-9,54", ,"79,94", ," 0,20", ," 3,76", ,"80,14", ," 0,29", ,"14,72", ,"-15,91", ,"75,89", ," 0,01", ," 0,00", ," 2,89", ,"79,97", ," 0,32", ," 1,74", ,"80,01", ," 0,29", ,"-9,54", ,"79,97", ," 0,22", ," 2,31", ,"80,11", ," 0,33", ,"14,74", ,"-1,16", ,"79,84", ," 0,01", ," 0,00", 
2851,"2022-02-07 10:42:24,6"," 2,60", ,"79,94", ," 0,28", ," 1,45", ,"80,01", ," 0,25", ,"-9,26", ,"79,94", ," 0,20", ," 3,76", ,"80,14", ," 0,29", ,"14,74", ,"-61,32",a,"58,44",a,"-5,03",a," 0,00", ," 2,89", ,"79,94", ," 0,32", ," 1,45", ,"80,01", ," 0,28", ,"-9,26", ,"79,97", ," 0,21", ," 2,31", ,"80,14", ," 0,33", ,"14,76", ,"-69,42",a,"54,46",a,"-5,03",a," 0,00", 
2852,"2022-02-07 10:47:24,7"," 2,89", ,"79,90", ," 0,28", ," 1,45", ,"79,97", ," 0,24", ,"-8,97", ,"79,94", ," 0,17", ," 4,05", ,"80,14", ," 0,28", ,"14,72", ,"-60,45",a,"54,80",a,"-5,03",a," 0,00", ," 2,89", ,"79,94", ," 0,31", ," 1,74", ,"80,01", ," 0,28", ,"-8,97", ,"79,97", ," 0,18", ," 2,31", ,"80,11", ," 0,32", ,"14,76", ,"-61,61",a,"53,79",a,"-5,03",a," 0,00", 
2853,"2022-02-07 10:52:25,4"," 2,89", ,"79,97", ," 0,27", ," 1,45", ,"79,97", ," 0,23", ,"-8,39", ,"79,94", ," 0,16", ," 4,34", ,"80,14", ," 0,28", ,"14,74", ,"-31,53",a,"70,63", ,"-2,79", ," 0,00", ," 2,89", ,"79,97", ," 0,30", ," 1,45", ,"80,01", ," 0,27", ,"-8,39", ,"79,97", ," 0,17", ," 2,60", ,"80,11", ," 0,31", ,"14,76", ,"-59,58",a,"61,35",a,"-5,03",a," 0,00", 
2854,"2022-02-07 10:57:26,0"," 2,89", ,"79,97", ," 0,27", ," 1,16", ,"80,01", ," 0,23", ,"-8,10", ,"79,94", ," 0,15", ," 4,05", ,"80,14", ," 0,28", ,"14,74", ," 0,00", ,"79,80", ," 0,01", ," 0,00", ," 2,89", ,"80,01", ," 0,30", ," 1,74", ,"80,01", ," 0,27", ,"-8,10", ,"79,94", ," 0,17", ," 2,60", ,"80,11", ," 0,31", ,"14,74", ," 0,00", ,"79,84", ," 0,01", ," 0,00", 
2855,"2022-02-07 11:02:26,7"," 2,89", ,"79,97", ," 0,26", ," 1,45", ,"80,01", ," 0,23", ,"-8,10", ,"79,97", ," 0,15", ," 4,05", ,"80,14", ," 0,28", ,"14,74", ," 0,87", ,"79,36", ," 0,01", ," 0,00", ," 2,89", ,"79,97", ," 0,30", ," 1,45", ,"80,01", ," 0,27", ,"-8,10", ,"79,97", ," 0,16", ," 2,60", ,"80,14", ," 0,31", ,"14,76", ," 0,00", ,"79,84", ," 0,01", ," 0,00", 
2856,"2022-02-07 11:07:27,3"," 2,89", ,"79,94", ," 0,26", ," 1,45", ,"79,97", ," 0,23", ,"-7,81", ,"79,94", ," 0,18", ," 3,76", ,"80,14", ," 0,28", ,"14,74", ,"-66,23",a,"55,64",a,"-2,97",a," 0,00", ," 2,89", ,"79,97", ," 0,30", ," 1,45", ,"80,01", ," 0,27", ,"-7,81", ,"79,94", ," 0,20", ," 2,31", ,"80,11", ," 0,31", ,"14,76", ,"-59,00",a,"58,81",a,"-1,16", ," 0,00", 
2857,"2022-02-07 11:12:27,1"," 2,89", ,"79,94", ," 0,26", ," 1,45", ,"80,01", ," 0,23", ,"-8,10", ,"79,94", ," 0,19", ," 4,05", ,"80,14", ," 0,27", ,"14,74", ,"-60,74",a,"54,83",a,"-5,03",a," 0,00", ," 2,89", ,"79,97", ," 0,29", ," 1,74", ,"80,04", ," 0,26", ,"-7,52", ,"79,97", ," 0,20", ," 2,60", ,"80,11", ," 0,31", ,"14,76", ,"-61,61",a,"53,79",a,"-5,03",a," 0,00", 
2858,"2022-02-07 11:17:27,2"," 2,89", ,"79,94", ," 0,26", ," 1,45", ,"80,01", ," 0,23", ,"-7,81", ,"79,94", ," 0,19", ," 4,05", ,"80,14", ," 0,27", ,"14,74", ,"-60,45",a,"54,80",a,"-5,03",a," 0,00", ," 2,89", ,"79,97", ," 0,29", ," 1,74", ,"80,01", ," 0,26", ,"-7,81", ,"79,97", ," 0,20", ," 2,60", ,"80,11", ," 0,31", ,"14,74", ,"-61,61",a,"53,79",a,"-5,03",a," 0,00", 
2859,"2022-02-07 11:22:27,9"," 2,89", ,"79,94", ," 0,26", ," 1,45", ,"79,97", ," 0,22", ,"-7,81", ,"79,94", ," 0,19", ," 4,34", ,"80,14", ," 0,26", ,"14,74", ,"-60,45",a,"54,83",a,"-5,03",a," 0,00", ," 2,89", ,"79,97", ," 0,29", ," 1,74", ,"80,01", ," 0,26", ,"-7,52", ,"79,97", ," 0,20", ," 2,60", ,"80,11", ," 0,30", ,"14,76", ,"-61,61",a,"53,79",a,"-5,03",a," 0,00", 
2860,"2022-02-07 11:27:28,0"," 2,89", ,"79,94", ," 0,26", ," 1,74", ,"80,01", ," 0,22", ,"-7,81", ,"79,97", ," 0,19", ," 4,34", ,"80,14", ," 0,26", ,"14,74", ,"-60,45",a,"54,80",a,"-5,03",a," 0,00", ," 2,89", ,"79,97", ," 0,29", ," 1,74", ,"80,01", ," 0,26", ,"-7,81", ,"79,97", ," 0,21", ," 2,60", ,"80,14", ," 0,30", ,"14,74", ,"-61,61",a,"53,79",a,"-5,03",a," 0,00", 
2861,"2022-02-07 11:32:28,1"," 2,89", ,"79,97", ," 0,26", ," 1,45", ,"80,01", ," 0,22", ,"-7,52", ,"79,94", ," 0,19", ," 4,05", ,"80,14", ," 0,26", ,"14,72", ,"-60,45",a,"54,80",a,"-5,03",a," 0,00", ," 3,18", ,"79,97", ," 0,29", ," 1,45", ,"80,01", ," 0,26", ,"-7,81", ,"79,94", ," 0,21", ," 2,60", ,"80,11", ," 0,30", ,"14,74", ,"-61,32",a,"53,99",a,"-3,69",a," 0,00", 
2862,"2022-02-07 11:37:28,7"," 2,89", ,"79,94", ," 0,25", ," 1,45", ,"79,97", ," 0,22", ,"-7,81", ,"79,94", ," 0,20", ," 4,05", ,"80,14", ," 0,26", ,"14,74", ,"-60,45",a,"54,83",a,"-5,03",a," 0,00", ," 2,89", ,"79,94", ," 0,29", ," 1,74", ,"80,01", ," 0,26", ,"-7,81", ,"79,94", ," 0,22", ," 2,60", ,"80,14", ," 0,29", ,"14,74", ,"-61,61",a,"53,79",a,"-5,03",a," 0,00", 
2863,"2022-02-07 11:42:29,1"," 2,89", ,"79,97", ," 0,25", ," 1,45", ,"80,01", ," 0,21", ,"-7,81", ,"79,97", ," 0,20", ," 4,34", ,"80,14", ," 0,25", ,"14,76", ," 0,00", ,"79,80", ," 0,01", ," 0,00", ," 2,89", ,"80,01", ," 0,28", ," 1,74", ,"80,01", ," 0,25", ,"-7,52", ,"79,97", ," 0,21", ," 2,89", ,"80,14", ," 0,29", ,"14,74", ," 0,00", ,"79,84", ," 0,01", ," 0,00", 
2864,"2022-02-07 11:47:29,5"," 2,89", ,"79,94", ," 0,25", ," 1,45", ,"80,01", ," 0,21", ,"-7,81", ,"79,94", ," 0,20", ," 4,34", ,"80,17", ," 0,25", ,"14,74", ,"-60,45",a,"54,83",a,"-5,03",a," 0,00", ," 2,89", ,"79,97", ," 0,28", ," 1,45", ,"80,01", ," 0,25", ,"-7,81", ,"79,97", ," 0,22", ," 2,89", ,"80,14", ," 0,29", ,"14,76", ,"-61,61",a,"53,82",a,"-5,03",a," 0,00", 
2865,"2022-02-07 11:52:29,3"," 2,89", ,"79,97", ," 0,24", ," 1,45", ,"80,01", ," 0,21", ,"-8,10", ,"79,94", ," 0,20", ," 4,34", ,"80,17", ," 0,25", ,"14,74", ," 0,29", ,"79,84", ,"-0,05", ," 0,00", ," 2,89", ,"79,97", ," 0,28", ," 1,45", ,"79,97", ," 0,24", ,"-8,10", ,"79,94", ," 0,21", ," 2,89", ,"80,14", ," 0,28", ,"14,74", ,"-7,52", ,"75,89", ,"-1,57", ," 0,00", 
2866,"2022-02-07 11:57:30,2"," 2,60", ,"79,94", ," 0,24", ," 1,45", ,"79,97", ," 0,20", ,"-8,39", ,"79,94", ," 0,19", ," 4,34", ,"80,17", ," 0,24", ,"14,74", ,"-61,61",a,"55,78",a,"-5,03",a," 0,00", ," 2,89", ,"79,97", ," 0,27", ," 2,02", ,"80,04", ," 0,24", ,"-7,81", ,"79,97", ," 0,20", ," 2,89", ,"80,14", ," 0,28", ,"14,76", ,"-61,32",a,"53,69",a,"-5,03",a," 0,00", 
2867,"2022-02-07 12:02:30,3"," 2,89", ,"79,94", ," 0,23", ," 1,45", ,"79,97", ," 0,20", ,"-8,10", ,"79,94", ," 0,20", ," 4,34", ,"80,17", ," 0,24", ,"14,76", ,"-60,74",a,"54,80",a,"-5,03",a," 0,00", ," 2,89", ,"79,97", ," 0,27", ," 1,74", ,"80,01", ," 0,23", ,"-8,10", ,"79,97", ," 0,22", ," 2,89", ,"80,14", ," 0,28", ,"14,74", ,"-61,61",a,"53,79",a,"-5,03",a," 0,00", 
2868,"2022-02-07 12:07:30,9"," 2,89", ,"79,94", ," 0,22", ," 1,45", ,"80,01", ," 0,19", ,"-8,10", ,"79,94", ," 0,22", ," 4,63", ,"80,17", ," 0,23", ,"14,76", ,"-42,81",a,"64,05",a,"-4,27",a," 0,00", ," 2,89", ,"79,97", ," 0,26", ," 1,74", ,"80,01", ," 0,22", ,"-8,10", ,"79,97", ," 0,23", ," 2,89", ,"80,14", ," 0,26", ,"14,72", ,"-56,11",a,"55,78",a,"-5,03",a," 0,00", 
2869,"2022-02-07 12:12:31,4"," 2,89", ,"79,94", ," 0,22", ," 1,45", ,"80,01", ," 0,19", ,"-8,10", ,"79,94", ," 0,23", ," 4,34", ,"80,17", ," 0,23", ,"14,74", ,"-62,47",a,"58,68",a,"-1,43", ," 0,00", ," 2,89", ,"79,97", ," 0,26", ," 1,74", ,"80,01", ," 0,22", ,"-8,10", ,"79,97", ," 0,25", ," 2,89", ,"80,14", ," 0,26", ,"14,74", ,"-45,99",a,"67,01", ," 0,01", ," 0,00", 
2870,"2022-02-07 12:17:31,7"," 2,89", ,"79,97", ," 0,22", ," 1,45", ,"79,97", ," 0,19", ,"-8,39", ,"79,94", ," 0,22", ," 4,34", ,"80,17", ," 0,23", ,"14,72", ,"-8,68", ,"75,96", ,"-1,57", ," 0,00", ," 2,89", ,"79,97", ," 0,25", ," 1,74", ,"80,01", ," 0,22", ,"-8,39", ,"79,94", ," 0,23", ," 2,89", ,"80,14", ," 0,26", ,"14,74", ,"-35,00",a,"66,71", ,"-3,50",a," 0,00", 
2871,"2022-02-07 12:22:31,8"," 2,89", ,"79,94", ," 0,23", ," 1,16", ,"80,01", ," 0,20", ,"-8,39", ,"79,94", ," 0,26", ," 4,34", ,"80,17", ," 0,23", ,"14,74", ,"-48,59",a,"56,93",a,"-5,03",a," 0,00", ," 2,89", ,"79,97", ," 0,26", ," 1,74", ,"80,01", ," 0,23", ,"-8,10", ,"79,97", ," 0,27", ," 2,60", ,"80,14", ," 0,27", ,"14,76", ,"-57,27",a,"53,82",a,"-5,03",a," 0,00", 
2872,"2022-02-07 12:27:32,2"," 2,89", ,"79,97", ," 0,23", ," 1,45", ,"79,97", ," 0,20", ,"-8,39", ,"79,94", ," 0,26", ," 4,34", ,"80,17", ," 0,23", ,"14,74", ,"-21,40", ,"67,96", ," 0,01", ," 0,00", ," 2,89", ,"79,97", ," 0,26", ," 1,45", ,"80,01", ," 0,23", ,"-8,10", ,"79,94", ," 0,28", ," 2,89", ,"80,14", ," 0,27", ,"14,72", ,"-7,81", ,"76,16", ," 0,01", ," 0,00", 
2873,"2022-02-07 12:32:32,5"," 2,89", ,"79,97", ," 0,23", ," 1,45", ,"80,01", ," 0,20", ,"-8,10", ,"79,94", ," 0,28", ," 4,34", ,"80,17", ," 0,24", ,"14,76", ,"-20,54", ,"66,81", ,"-3,87",a," 0,00", ," 2,89", ,"79,97", ," 0,27", ," 1,74", ,"80,01", ," 0,23", ,"-8,10", ,"79,94", ," 0,29", ," 2,89", ,"80,14", ," 0,28", ,"14,74", ,"-40,49",a,"57,30",a,"-5,03",a," 0,00", 
2874,"2022-02-07 12:37:32,9"," 2,89", ,"79,94", ," 0,23", ," 1,45", ,"80,01", ," 0,20", ,"-7,81", ,"79,94", ," 0,28", ," 4,63", ,"80,17", ," 0,23", ,"14,76", ,"-55,24",a,"58,31",a,"-1,71", ," 0,00", ," 2,89", ,"79,97", ," 0,26", ," 1,74", ,"80,01", ," 0,23", ,"-7,81", ,"79,97", ," 0,29", ," 3,18", ,"80,14", ," 0,28", ,"14,76", ,"-30,37",a,"64,92",a,"-0,16", ," 0,00", 
2875,"2022-02-07 12:42:33,0"," 3,18", ,"79,97", ," 0,23", ," 1,45", ,"80,01", ," 0,20", ,"-8,10", ,"79,94", ," 0,29", ," 4,63", ,"80,17", ," 0,24", ,"14,74", ,"-6,36", ,"76,60", ," 0,01", ," 0,00", ," 3,18", ,"80,01", ," 0,27", ," 1,74", ,"80,01", ," 0,23", ,"-7,81", ,"79,97", ," 0,30", ," 2,89", ,"80,14", ," 0,28", ,"14,76", ,"-0,29", ,"79,80", ," 0,01", ," 0,00", 
2876,"2022-02-07 12:47:33,1"," 2,89", ,"79,97", ," 0,24", ," 1,45", ,"79,97", ," 0,20", ,"-7,81", ,"79,94", ," 0,29", ," 4,63", ,"80,17", ," 0,24", ,"14,74", ," 0,00", ,"79,80", ," 0,01", ," 0,00", ," 3,18", ,"80,01", ," 0,27", ," 1,45", ,"79,97", ," 0,24", ,"-7,81", ,"79,94", ," 0,31", ," 2,89", ,"80,14", ," 0,28", ,"14,76", ," 0,00", ,"79,84", ," 0,02", ," 0,00", 
2877,"2022-02-07 12:52:33,2"," 2,89", ,"79,97", ," 0,24", ," 1,74", ,"79,97", ," 0,20", ,"-7,81", ,"79,94", ," 0,29", ," 4,63", ,"80,17", ," 0,24", ,"14,74", ," 0,29", ,"79,84", ," 0,01", ," 0,00", ," 3,18", ,"79,97", ," 0,27", ," 1,45", ,"80,01", ," 0,24", ,"-7,81", ,"79,94", ," 0,31", ," 2,89", ,"80,14", ," 0,28", ,"14,74", ," 0,00", ,"79,84", ," 0,01", ," 0,00", 
2878,"2022-02-07 12:57:33,8"," 2,89", ,"79,97", ," 0,24", ," 1,45", ,"79,97", ," 0,21", ,"-8,10", ,"79,94", ," 0,31", ," 4,34", ,"80,17", ," 0,25", ,"14,72", ," 0,00", ,"79,84", ," 0,01", ," 0,00", ," 3,18", ,"80,01", ," 0,28", ," 2,02", ,"80,04", ," 0,24", ,"-7,52", ,"79,94", ," 0,32", ," 2,60", ,"80,14", ," 0,28", ,"14,74", ,"-0,29", ,"79,84", ," 0,02", ," 0,00", 
2879,"2022-02-07 13:02:34,0"," 2,89", ,"79,97", ," 0,25", ," 1,74", ,"80,01", ," 0,21", ,"-7,81", ,"79,97", ," 0,31", ," 4,34", ,"80,17", ," 0,25", ,"14,74", ," 0,00", ,"79,80", ," 0,01", ," 0,00", ," 2,89", ,"80,01", ," 0,28", ," 1,74", ,"80,01", ," 0,25", ,"-7,52", ,"79,97", ," 0,32", ," 2,89", ,"80,14", ," 0,28", ,"14,74", ," 0,00", ,"79,87", ," 0,01", ," 0,00", 
2880,"2022-02-07 13:07:34,6"," 2,89", ,"79,97", ," 0,25", ," 1,45", ,"80,01", ," 0,22", ,"-7,52", ,"79,97", ," 0,31", ," 4,34", ,"80,14", ," 0,25", ,"14,78", ,"-9,54", ,"76,13", ," 0,01", ," 0,00", ," 3,18", ,"80,01", ," 0,28", ," 1,16", ,"80,01", ," 0,25", ,"-7,52", ,"79,94", ," 0,33", ," 2,60", ,"80,14", ," 0,29", ,"14,72", ," 0,00", ,"79,84", ," 0,01", ," 0,00", 
2881,"2022-02-07 13:12:34,6"," 2,89", ,"79,97", ," 0,25", ," 1,45", ,"80,01", ," 0,22", ,"-7,52", ,"79,94", ," 0,32", ," 4,34", ,"80,17", ," 0,25", ,"14,74", ," 0,00", ,"79,84", ," 0,01", ," 0,00", ," 2,89", ,"80,01", ," 0,28", ," 1,74", ,"80,01", ," 0,25", ,"-7,52", ,"79,94", ," 0,33", ," 2,89", ,"80,14", ," 0,29", ,"14,74", ," 0,00", ,"79,84", ," 0,02", ," 0,00", 
2882,"2022-02-07 13:17:34,7"," 3,18", ,"79,97", ," 0,25", ," 1,45", ,"80,01", ," 0,22", ,"-7,52", ,"79,97", ," 0,32", ," 4,34", ,"80,14", ," 0,25", ,"14,74", ,"-0,29", ,"79,80", ," 0,01", ," 0,00", ," 3,18", ,"80,01", ," 0,28", ," 1,74", ,"80,01", ," 0,25", ,"-7,52", ,"79,94", ," 0,34", ," 2,60", ,"80,14", ," 0,29", ,"14,76", ," 0,00", ,"79,87", ," 0,02", ," 0,00", 
2883,"2022-02-07 13:22:34,8"," 2,89", ,"79,97", ," 0,25", ," 1,74", ,"80,01", ," 0,22", ,"-7,23", ,"79,94", ," 0,32", ," 4,34", ,"80,17", ," 0,25", ,"14,74", ,"-10,70", ,"77,27", ,"-1,03", ," 0,00", ," 2,89", ,"79,97", ," 0,28", ," 1,74", ,"80,01", ," 0,25", ,"-7,23", ,"79,94", ," 0,34", ," 2,89", ,"80,14", ," 0,29", ,"14,74", ,"-31,24",a,"71,87", ,"-2,79", ," 0,00", 
2884,"2022-02-07 13:27:35,5"," 2,89", ,"79,97", ," 0,25", ," 1,45", ,"80,01", ," 0,22", ,"-7,52", ,"79,97", ," 0,32", ," 4,34", ,"80,17", ," 0,25", ,"14,72", ," 0,00", ,"79,80", ," 0,01", ," 0,00", ," 3,18", ,"80,01", ," 0,28", ," 1,74", ,"80,01", ," 0,25", ,"-7,23", ,"79,94", ," 0,34", ," 2,89", ,"80,14", ," 0,29", ,"14,74", ,"-0,29", ,"79,84", ," 0,02", ," 0,00", 
2885,"2022-02-07 13:32:35,6"," 2,89", ,"79,97", ," 0,25", ," 1,74", ,"80,01", ," 0,21", ,"-7,23", ,"79,94", ," 0,32", ," 4,34", ,"80,17", ," 0,25", ,"14,74", ," 0,00", ,"79,84", ," 0,01", ," 0,00", ," 2,89", ,"80,01", ," 0,28", ," 1,74", ,"80,04", ," 0,25", ,"-7,23", ,"79,94", ," 0,34", ," 2,89", ,"80,14", ," 0,28", ,"14,76", ,"-3,47", ,"79,50", ,"-0,52", ," 0,00", 
2886,"2022-02-07 13:37:36,2"," 2,89", ,"79,97", ," 0,25", ," 1,45", ,"80,01", ," 0,22", ,"-7,23", ,"79,94", ," 0,32", ," 4,34", ,"80,17", ," 0,25", ,"14,74", ," 0,00", ,"79,80", ," 0,02", ," 0,00", ," 3,18", ,"80,01", ," 0,28", ," 1,74", ,"80,01", ," 0,25", ,"-6,94", ,"79,97", ," 0,34", ," 2,89", ,"80,14", ," 0,29", ,"14,74", ," 0,00", ,"79,87", ," 0,01", ," 0,00", 
2887,"2022-02-07 13:42:36,9"," 2,89", ,"79,97", ," 0,25", ," 1,45", ,"80,01", ," 0,21", ,"-7,23", ,"79,94", ," 0,32", ," 4,34", ,"80,17", ," 0,25", ,"14,76", ,"-30,08",a,"62,73",a,"-0,40", ," 0,00", ," 2,89", ,"80,01", ," 0,28", ," 1,74", ,"80,04", ," 0,25", ,"-6,94", ,"79,97", ," 0,34", ," 2,89", ,"80,14", ," 0,28", ,"14,76", ,"-15,91", ,"72,99", ," 0,01", ," 0,00", 
2888,"2022-02-07 13:47:37,2"," 2,89", ,"79,97", ," 0,25", ," 1,45", ,"80,01", ," 0,22", ,"-6,94", ,"79,94", ," 0,33", ," 4,34", ,"80,17", ," 0,25", ,"14,74", ,"-12,44", ,"71,50", ,"-2,79", ," 0,00", ," 3,18", ,"79,97", ," 0,28", ," 1,74", ,"80,01", ," 0,25", ,"-6,94", ,"79,94", ," 0,35", ," 2,89", ,"80,14", ," 0,28", ,"14,74", ,"-29,79",a,"60,13",a,"-5,03",a," 0,00", 
2889,"2022-02-07 13:52:37,7"," 2,89", ,"79,94", ," 0,25", ," 1,74", ,"80,01", ," 0,22", ,"-6,94", ,"79,94", ," 0,33", ," 4,34", ,"80,17", ," 0,25", ,"14,74", ,"-58,14",a,"55,88",a,"-2,63", ," 0,00", ," 2,89", ,"79,97", ," 0,28", ," 1,74", ,"80,01", ," 0,25", ,"-6,94", ,"79,94", ," 0,35", ," 2,89", ,"80,14", ," 0,29", ,"14,76", ,"-39,05",a,"60,74",a,"-0,89", ," 0,00", 
2890,"2022-02-07 13:57:38,3"," 2,89", ,"79,94", ," 0,25", ," 1,74", ,"80,01", ," 0,21", ,"-6,94", ,"79,94", ," 0,33", ," 4,34", ,"80,17", ," 0,25", ,"14,74", ,"-60,45",a,"54,83",a,"-5,03",a," 0,00", ," 2,89", ,"79,97", ," 0,28", ," 1,74", ,"80,01", ," 0,25", ,"-6,65", ,"79,94", ," 0,35", ," 2,60", ,"80,14", ," 0,28", ,"14,74", ,"-61,61",a,"53,82",a,"-5,03",a," 0,00", 
2891,"2022-02-07 14:02:38,6"," 2,89", ,"79,97", ," 0,25", ," 1,74", ,"80,01", ," 0,22", ,"-6,65", ,"79,94", ," 0,34", ," 4,34", ,"80,17", ," 0,25", ,"14,74", ," 0,00", ,"79,80", ," 0,01", ," 0,00", ," 2,89", ,"80,01", ," 0,28", ," 2,02", ,"80,01", ," 0,25", ,"-6,65", ,"79,97", ," 0,35", ," 2,89", ,"80,14", ," 0,29", ,"14,72", ," 0,00", ,"79,84", ," 0,01", ," 0,00", 
2892,"2022-02-07 14:07:39,1"," 2,89", ,"79,94", ," 0,26", ," 1,74", ,"80,01", ," 0,22", ,"-6,65", ,"79,94", ," 0,34", ," 4,34", ,"80,17", ," 0,26", ,"14,74", ,"-60,45",a,"54,83",a,"-5,03",a," 0,00", ," 2,89", ,"79,97", ," 0,29", ," 1,74", ,"80,01", ," 0,26", ,"-6,65", ,"79,97", ," 0,36", ," 2,89", ,"80,14", ," 0,29", ,"14,74", ,"-61,61",a,"53,79",a,"-5,03",a," 0,00", 
2893,"2022-02-07 14:12:39,7"," 2,89", ,"79,97", ," 0,26", ," 1,45", ,"80,01", ," 0,22", ,"-6,36", ,"79,94", ," 0,35", ," 4,34", ,"80,17", ," 0,26", ,"14,78", ,"-41,94",a,"60,16",a,"-5,03",a," 0,00", ," 2,89", ,"79,97", ," 0,29", ," 1,74", ,"80,01", ," 0,26", ,"-6,65", ,"79,97", ," 0,36", ," 2,60", ,"80,14", ," 0,29", ,"14,72", ,"-67,39",a,"55,81",a,"-5,03",a," 0,00", 
2894,"2022-02-07 14:17:40,1"," 2,89", ,"79,94", ," 0,26", ," 1,45", ,"79,97", ," 0,23", ,"-6,36", ,"79,94", ," 0,35", ," 4,34", ,"80,17", ," 0,26", ,"14,74", ,"-34,13",a,"60,00",a,"-0,89", ," 0,00", ," 2,89", ,"79,97", ," 0,29", ," 1,74", ,"80,01", ," 0,26", ,"-6,36", ,"79,97", ," 0,36", ," 2,89", ,"80,14", ," 0,29", ,"14,74", ,"-27,19",a,"68,60", ," 0,02", ," 0,00", 
2895,"2022-02-07 14:22:41,0"," 2,89", ,"79,97", ," 0,26", ," 1,45", ,"80,01", ," 0,23", ,"-6,36", ,"79,94", ," 0,34", ," 4,34", ,"80,17", ," 0,26", ,"14,74", ," 0,00", ,"79,84", ," 0,01", ," 0,00", ," 3,18", ,"80,01", ," 0,29", ," 1,74", ,"80,01", ," 0,26", ,"-6,36", ,"79,97", ," 0,36", ," 2,60", ,"80,14", ," 0,30", ,"14,76", ," 0,00", ,"79,84", ," 0,02", ," 0,00", 
2896,"2022-02-07 14:27:41,3"," 2,89", ,"79,94", ," 0,26", ," 1,74", ,"80,01", ," 0,23", ,"-6,36", ,"79,94", ," 0,34", ," 4,05", ,"80,17", ," 0,26", ,"14,72", ,"-60,45",a,"54,83",a,"-5,03",a," 0,00", ," 2,89", ,"79,97", ," 0,29", ," 1,74", ,"80,01", ," 0,26", ,"-6,07", ,"79,94", ," 0,36", ," 2,89", ,"80,14", ," 0,30", ,"14,74", ,"-61,61",a,"53,82",a,"-5,03",a," 0,00", 
2897,"2022-02-07 14:32:41,4"," 2,89", ,"79,94", ," 0,26", ," 1,45", ,"80,01", ," 0,23", ,"-6,36", ,"79,94", ," 0,34", ," 4,34", ,"80,17", ," 0,26", ,"14,74", ,"-60,45",a,"54,83",a,"-5,03",a," 0,00", ," 2,89", ,"79,97", ," 0,29", ," 1,74", ,"80,01", ," 0,26", ,"-6,07", ,"79,94", ," 0,36", ," 2,60", ,"80,14", ," 0,30", ,"14,74", ,"-61,61",a,"53,79",a,"-5,03",a," 0,00", 
2898,"2022-02-07 14:37:42,1"," 2,89", ,"79,94", ," 0,26", ," 1,45", ,"79,97", ," 0,23", ,"-6,07", ,"79,94", ," 0,34", ," 4,34", ,"80,17", ," 0,26", ,"14,72", ,"-59,58",a,"56,22",a,"-5,03",a," 0,00", ," 2,89", ,"79,97", ," 0,29", ," 1,74", ,"80,01", ," 0,26", ,"-5,78", ,"79,94", ," 0,36", ," 2,60", ,"80,14", ," 0,30", ,"14,74", ,"-60,16",a,"53,58",a,"-5,03",a," 0,00", 
2899,"2022-02-07 14:42:42,7"," 2,89", ,"79,97", ," 0,26", ," 1,45", ,"80,01", ," 0,23", ,"-6,07", ,"79,94", ," 0,34", ," 4,34", ,"80,17", ," 0,26", ,"14,74", ," 0,00", ,"79,80", ," 0,01", ," 0,00", ," 2,89", ,"79,97", ," 0,29", ," 1,74", ,"80,01", ," 0,26", ,"-5,78", ,"79,97", ," 0,35", ," 2,60", ,"80,14", ," 0,30", ,"14,76", ,"-8,97", ,"76,02", ,"-1,30", ," 0,00", 
