Timestamp,MON1 CL DDM (?A),Status,MON1 CL SDM (%),Status,MON1 CL RF (V),Status,MON1 DS DDM (?A),Status,MON1 DS SDM (%),Status,MON1 DS RF (V),Status,MON1 NF DDM (?A),Status,MON1 NF SDM (%),Status,MON1 NF RF (V),Status,MON1 CLR DDM (?A),Status,MON1 CLR SDM (%),Status,MON1 CLR RF (V),Status,MON1 DIFF FREQ (kHz),Status,MON1 CL ID MOD (%),Status,MON1 CL ID ACT (),Status,MON1 CLR ID MOD (%),Status,MON1 CLR ID ACT (),Status,MON1 VOICE (),Status,MON1 DL 0 (?),Status,MON1 DL 1 (?),Status,MON1 DL 2 (),Status,MON1 DL 3 (),Status,MON1 FFM Ch.A DDM (?A),Status,MON1 FFM Ch.A SDM (%),Status,MON1 FFM Ch.A RF (dBm),Status,MON1 FFM Ch.B DDM (?A),Status,MON1 FFM Ch.B SDM (%),Status,MON1 FFM Ch.B RF (dBm),Status,MON1 Execute alarm (),Status,MON1 TEST DDM (?A),Status,MON1 TEST SDM (%),Status,MON1 TEST RF (V),Status,MON1 SELF TEST (),Status,MON2 CL DDM (?A),Status,MON2 CL SDM (%),Status,MON2 CL RF (V),Status,MON2 DS DDM (?A),Status,MON2 DS SDM (%),Status,MON2 DS RF (V),Status,MON2 NF DDM (?A),Status,MON2 NF SDM (%),Status,MON2 NF RF (V),Status,MON2 CLR DDM (?A),Status,MON2 CLR SDM (%),Status,MON2 CLR RF (V),Status,MON2 DIFF FREQ (kHz),Status,MON2 CL ID MOD (%),Status,MON2 CL ID ACT (),Status,MON2 CLR ID MOD (%),Status,MON2 CLR ID ACT (),Status,MON2 VOICE (),Status,MON2 DL 0 (?),Status,MON2 DL 1 (?),Status,MON2 DL 2 (),Status,MON2 DL 3 (),Status,MON2 FFM Ch.A DDM (?A),Status,MON2 FFM Ch.A SDM (%),Status,MON2 FFM Ch.A RF (dBm),Status,MON2 FFM Ch.B DDM (?A),Status,MON2 FFM Ch.B SDM (%),Status,MON2 FFM Ch.B RF (dBm),Status,MON2 Execute alarm (),Status,MON2 TEST DDM (?A),Status,MON2 TEST SDM (%),Status,MON2 TEST RF (V),Status,MON2 SELF TEST (),Status
"2022-02-23 14:03:43,8","-0,87", ,"79,97", ," 2,89", ," 0,29", ,"79,90", ," 2,97", ,"-2,89", ,"79,84", ," 2,98", ,"-0,58", ,"80,07", ," 2,99", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-60,16",a,"54,06",a," 1,55",a," 0,00", ,"-0,58", ,"79,77", ," 3,03", ," 0,00", ,"79,77", ," 3,06", ,"-3,18", ,"79,80", ," 3,09", ,"-1,74", ,"79,87", ," 3,02", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-61,03",a,"53,96",a," 1,55",a," 0,00", 
"2022-02-23 14:08:43,9","-0,87", ,"79,97", ," 2,89", ," 0,29", ,"79,90", ," 2,97", ,"-3,47", ,"79,87", ," 2,98", ,"-0,58", ,"80,07", ," 2,99", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,07", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-60,16",a,"54,06",a," 1,55",a," 0,00", ,"-0,58", ,"79,77", ," 3,03", ," 0,00", ,"79,77", ," 3,06", ,"-3,76", ,"79,80", ," 3,09", ,"-1,74", ,"79,84", ," 3,01", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-60,16",a,"53,96",a," 1,55",a," 0,00", 
"2022-02-23 14:13:44,8","-0,87", ,"79,97", ," 2,89", ," 0,58", ,"79,90", ," 2,97", ,"-4,05", ,"79,87", ," 2,99", ,"-0,58", ,"80,07", ," 2,99", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,07", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-8,39", ,"71,20", ," 3,09", ," 0,00", ,"-0,58", ,"79,77", ," 3,03", ,"-0,29", ,"79,77", ," 3,06", ,"-4,05", ,"79,84", ," 3,10", ,"-1,74", ,"79,84", ," 3,01", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-56,11",a,"53,92",a," 1,67",a," 0,00", 
"2022-02-23 14:18:45,2","-0,87", ,"79,97", ," 2,89", ," 0,29", ,"79,87", ," 2,97", ,"-4,63", ,"79,84", ," 3,00", ,"-0,58", ,"80,07", ," 2,99", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-53,22",a,"61,24",a," 1,62",a," 0,00", ,"-0,87", ,"79,77", ," 3,03", ," 0,00", ,"79,77", ," 3,05", ,"-4,63", ,"79,84", ," 3,10", ,"-1,74", ,"79,84", ," 3,01", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,60", ," 3,09", ," 0,00", 
"2022-02-23 14:23:45,6","-0,87", ,"79,97", ," 2,89", ," 0,29", ,"79,90", ," 2,97", ,"-4,92", ,"79,87", ," 3,00", ,"-0,58", ,"80,07", ," 2,99", ,"15,04", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-46,28",a,"58,68",a," 2,63", ," 0,00", ,"-0,58", ,"79,77", ," 3,03", ," 0,00", ,"79,77", ," 3,05", ,"-4,92", ,"79,80", ," 3,11", ,"-1,74", ,"79,84", ," 3,01", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-59,87",a,"53,96",a," 1,55",a," 0,00", 
"2022-02-23 14:28:46,3","-0,87", ,"79,97", ," 2,89", ," 0,29", ,"79,90", ," 2,97", ,"-5,21", ,"79,87", ," 3,01", ,"-0,58", ,"80,07", ," 2,99", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,07", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-60,16",a,"54,06",a," 1,55",a," 0,00", ,"-0,58", ,"79,77", ," 3,03", ,"-0,29", ,"79,77", ," 3,05", ,"-5,21", ,"79,80", ," 3,11", ,"-1,45", ,"79,87", ," 3,01", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-60,16",a,"53,96",a," 1,55",a," 0,00", 
"2022-02-23 14:33:46,6","-0,87", ,"80,01", ," 2,89", ," 0,29", ,"79,90", ," 2,97", ,"-5,50", ,"79,84", ," 3,01", ,"-0,58", ,"80,07", ," 2,99", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,07", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,80", ," 3,09", ," 0,00", ,"-0,87", ,"79,77", ," 3,03", ," 0,00", ,"79,74", ," 3,05", ,"-5,50", ,"79,80", ," 3,12", ,"-1,74", ,"79,84", ," 3,01", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,07", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,60", ," 3,09", ," 0,00", 
"2022-02-23 14:38:46,8","-0,87", ,"80,01", ," 2,89", ," 0,58", ,"79,87", ," 2,97", ,"-5,78", ,"79,87", ," 3,02", ,"-0,58", ,"80,07", ," 2,99", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,07", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,80", ," 3,09", ," 0,00", ,"-0,87", ,"79,77", ," 3,03", ," 0,00", ,"79,77", ," 3,05", ,"-5,78", ,"79,84", ," 3,13", ,"-1,45", ,"79,84", ," 3,01", ,"15,04", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,60", ," 3,09", ," 0,00", 
"2022-02-23 14:43:47,7","-0,87", ,"79,97", ," 2,89", ," 0,29", ,"79,90", ," 2,97", ,"-5,78", ,"79,84", ," 3,03", ,"-0,87", ,"80,07", ," 2,99", ,"15,04", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,04", ," 0,06", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-52,35",a,"56,32",a," 1,55",a," 0,00", ,"-0,58", ,"79,77", ," 3,03", ," 0,00", ,"79,77", ," 3,05", ,"-5,78", ,"79,80", ," 3,14", ,"-1,74", ,"79,87", ," 3,01", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,04", ," 0,07", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-2,60", ,"78,12", ," 2,78", ," 0,00", 
"2022-02-23 14:48:47,8","-0,87", ,"79,97", ," 2,89", ," 0,29", ,"79,90", ," 2,97", ,"-6,07", ,"79,84", ," 3,03", ,"-0,87", ,"80,07", ," 2,99", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-60,16",a,"54,06",a," 1,55",a," 0,00", ,"-0,87", ,"79,77", ," 3,03", ," 0,00", ,"79,74", ," 3,05", ,"-6,07", ,"79,84", ," 3,14", ,"-1,74", ,"79,84", ," 3,01", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,04", ," 0,07", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-56,40",a,"58,61",a," 1,55",a," 0,00", 
"2022-02-23 14:53:48,1","-0,87", ,"80,01", ," 2,89", ," 0,29", ,"79,90", ," 2,97", ,"-6,36", ,"79,87", ," 3,04", ,"-0,87", ,"80,07", ," 2,99", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,07", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,84", ," 3,09", ," 0,00", ,"-0,87", ,"79,77", ," 3,03", ," 0,00", ,"79,77", ," 3,05", ,"-6,07", ,"79,80", ," 3,15", ,"-1,74", ,"79,84", ," 3,01", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,07", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-40,20",a,"63,13",a," 2,93", ," 0,00", 
"2022-02-23 14:58:48,2","-0,87", ,"79,97", ," 2,89", ," 0,29", ,"79,90", ," 2,97", ,"-6,36", ,"79,84", ," 3,04", ,"-0,58", ,"80,07", ," 2,99", ,"15,04", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,07", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,84", ," 3,09", ," 0,00", ,"-0,87", ,"79,77", ," 3,03", ," 0,29", ,"79,77", ," 3,05", ,"-6,36", ,"79,80", ," 3,15", ,"-1,74", ,"79,84", ," 3,01", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,60", ," 3,09", ," 0,00", 
"2022-02-23 15:03:48,7","-0,87", ,"79,97", ," 2,89", ," 0,29", ,"79,90", ," 2,97", ,"-6,36", ,"79,84", ," 3,05", ,"-0,87", ,"80,07", ," 2,99", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-60,16",a,"54,06",a," 1,55",a," 0,00", ,"-0,87", ,"79,77", ," 3,03", ," 0,00", ,"79,77", ," 3,05", ,"-6,36", ,"79,80", ," 3,16", ,"-1,74", ,"79,84", ," 3,01", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-52,64",a,"54,12",a," 1,55",a," 0,00", 
"2022-02-23 15:08:49,0","-0,87", ,"80,01", ," 2,89", ," 0,29", ,"79,90", ," 2,97", ,"-6,36", ,"79,87", ," 3,05", ,"-0,87", ,"80,07", ," 2,99", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,84", ," 3,09", ," 0,00", ,"-0,87", ,"79,77", ," 3,03", ,"-0,29", ,"79,77", ," 3,05", ,"-6,65", ,"79,84", ," 3,16", ,"-1,74", ,"79,84", ," 3,01", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-3,47", ,"72,48", ," 3,09", ," 0,00", 
"2022-02-23 15:13:49,4","-0,87", ,"79,97", ," 2,89", ," 0,58", ,"79,90", ," 2,97", ,"-6,65", ,"79,84", ," 3,06", ,"-0,58", ,"80,07", ," 2,99", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,07", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-60,16",a,"54,09",a," 1,55",a," 0,00", ,"-0,58", ,"79,77", ," 3,03", ," 0,00", ,"79,77", ," 3,05", ,"-6,65", ,"79,80", ," 3,17", ,"-1,74", ,"79,84", ," 3,01", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,04", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-49,46",a,"59,83",a," 1,55",a," 0,00", 
"2022-02-23 15:18:50,0","-0,87", ,"79,97", ," 2,89", ," 0,29", ,"79,90", ," 2,97", ,"-6,65", ,"79,84", ," 3,06", ,"-0,58", ,"80,07", ," 2,99", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-17,35", ,"66,98", ," 1,91",a," 0,00", ,"-0,87", ,"79,77", ," 3,03", ," 0,00", ,"79,77", ," 3,05", ,"-6,94", ,"79,80", ," 3,17", ,"-1,74", ,"79,84", ," 3,01", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,57", ," 3,09", ," 0,00", 
"2022-02-23 15:23:50,4","-0,87", ,"79,97", ," 2,89", ," 0,58", ,"79,90", ," 2,97", ,"-6,65", ,"79,87", ," 3,06", ,"-0,87", ,"80,07", ," 2,99", ,"15,04", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,07", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-50,62",a,"56,66",a," 2,34", ," 0,00", ,"-0,87", ,"79,77", ," 3,03", ," 0,00", ,"79,77", ," 3,05", ,"-6,65", ,"79,80", ," 3,17", ,"-1,45", ,"79,84", ," 3,01", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,10", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-60,16",a,"53,96",a," 1,55",a," 0,00", 
"2022-02-23 15:28:51,1","-0,87", ,"79,97", ," 2,89", ," 0,29", ,"79,90", ," 2,97", ,"-6,94", ,"79,84", ," 3,07", ,"-0,58", ,"80,07", ," 2,99", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-60,16",a,"54,06",a," 1,55",a," 0,00", ,"-0,87", ,"79,77", ," 3,03", ," 0,00", ,"79,77", ," 3,05", ,"-6,94", ,"79,80", ," 3,18", ,"-1,74", ,"79,87", ," 3,01", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,04", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-59,87",a,"53,96",a," 1,55",a," 0,00", 
"2022-02-23 15:33:51,5","-0,87", ,"79,97", ," 2,89", ," 0,58", ,"79,90", ," 2,97", ,"-7,23", ,"79,84", ," 3,07", ,"-0,58", ,"80,07", ," 2,99", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,07", ," 0,10", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,84", ," 3,09", ," 0,00", ,"-0,87", ,"79,77", ," 3,03", ," 0,00", ,"79,77", ," 3,05", ,"-7,23", ,"79,80", ," 3,18", ,"-1,74", ,"79,84", ," 3,01", ,"15,04", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,04", ," 0,07", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 1,74", ,"78,45", ," 3,09", ," 0,00", 
"2022-02-23 15:38:51,7","-0,87", ,"79,97", ," 2,89", ," 0,29", ,"79,90", ," 2,97", ,"-7,23", ,"79,84", ," 3,08", ,"-0,87", ,"80,07", ," 2,99", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-59,87",a,"54,46",a," 1,55",a," 0,00", ,"-0,87", ,"79,77", ," 3,03", ," 0,00", ,"79,74", ," 3,05", ,"-7,52", ,"79,80", ," 3,19", ,"-1,74", ,"79,84", ," 3,01", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-58,42",a,"54,63",a," 1,55",a," 0,00", 
"2022-02-23 15:43:52,4","-0,87", ,"80,01", ," 2,89", ," 0,29", ,"79,87", ," 2,97", ,"-7,23", ,"79,84", ," 3,08", ,"-0,87", ,"80,07", ," 2,99", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,07", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-2,60", ,"78,49", ," 2,78", ," 0,00", ,"-0,58", ,"79,77", ," 3,03", ," 0,00", ,"79,74", ," 3,05", ,"-7,52", ,"79,80", ," 3,19", ,"-1,74", ,"79,84", ," 3,01", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,60", ," 3,07", ," 0,00", 
"2022-02-23 15:48:53,1","-0,87", ,"80,01", ," 2,89", ," 0,29", ,"79,90", ," 2,97", ,"-7,52", ,"79,84", ," 3,08", ,"-0,58", ,"80,07", ," 2,99", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,84", ," 3,09", ," 0,00", ,"-0,87", ,"79,77", ," 3,03", ," 0,00", ,"79,74", ," 3,05", ,"-7,52", ,"79,80", ," 3,19", ,"-1,74", ,"79,84", ," 3,01", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,60", ," 3,09", ," 0,00", 
"2022-02-23 15:53:53,4","-0,87", ,"79,97", ," 2,89", ," 0,29", ,"79,90", ," 2,97", ,"-7,52", ,"79,87", ," 3,09", ,"-0,87", ,"80,07", ," 2,99", ,"15,04", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-60,16",a,"54,06",a," 1,55",a," 0,00", ,"-0,87", ,"79,77", ," 3,03", ," 0,00", ,"79,74", ," 3,05", ,"-7,81", ,"79,80", ," 3,20", ,"-1,74", ,"79,84", ," 3,01", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-60,16",a,"53,96",a," 1,55",a," 0,00", 
"2022-02-23 15:58:53,5","-0,87", ,"79,97", ," 2,89", ," 0,29", ,"79,90", ," 2,97", ,"-8,10", ,"79,84", ," 3,09", ,"-0,87", ,"80,07", ," 2,99", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,07", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-60,16",a,"54,06",a," 1,55",a," 0,00", ,"-0,58", ,"79,77", ," 3,03", ,"-0,29", ,"79,74", ," 3,05", ,"-8,10", ,"79,80", ," 3,20", ,"-1,45", ,"79,84", ," 3,01", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-59,87",a,"53,96",a," 1,55",a," 0,00", 
"2022-02-23 16:03:53,9","-1,16", ,"79,97", ," 2,89", ," 0,58", ,"79,90", ," 2,97", ,"-8,10", ,"79,84", ," 3,10", ,"-0,87", ,"80,07", ," 2,99", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,07", ," 0,10", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,80", ," 3,09", ," 0,00", ,"-0,87", ,"79,77", ," 3,03", ," 0,00", ,"79,77", ," 3,05", ,"-8,10", ,"79,80", ," 3,20", ,"-1,74", ,"79,84", ," 3,01", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,57", ," 3,09", ," 0,00", 
"2022-02-23 16:08:54,6","-0,87", ,"80,01", ," 2,89", ," 0,58", ,"79,90", ," 2,97", ,"-8,39", ,"79,84", ," 3,10", ,"-0,58", ,"80,04", ," 2,99", ,"15,08", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-1,45", ,"79,90", ," 3,09", ," 0,00", ,"-0,58", ,"79,77", ," 3,03", ," 0,29", ,"79,74", ," 3,05", ,"-8,39", ,"79,80", ," 3,21", ,"-1,74", ,"79,84", ," 3,01", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,04", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,87", ,"77,54", ," 3,09", ," 0,00", 
